week_number,"12 MacBook (Mid 2017, Gold)","12 MacBook (Mid 2017, Silver)",12.3 32GB Multi-Touch 2-in-1 Chromebook Plus,"13.3 MacBook Air (Mid 2017, Silver)","15.4 MacBook Pro with Touch Bar (Late 2016, Silver)","15.4 MacBook Pro with Touch Bar (Late 2016, Space Gray)",ASUS VivoBook Max X541SA 15.6Inch Laptop Intel Pentium 4GB Memory 500GB HD Matte IMR X541SA-PD0703X,"Acer - 2-in-1 15.6 Refurbished Touch-Screen Laptop - Intel Core i7 - 12GB Memory - NVIDIA GeForce 940MX - 1TB Hard Drive - Steel gray""",Acer 15.6 Chromebook CB5-571-C4G4,"Alienware - R3 17.3 Laptop - Intel Core i7 - 16GB Memory - 1TB Hard Drive + 256GB Solid State Drive - Epic Silver""","Apple - MacBook Pro® - 13 Display - Intel Core i5 - 8 GB Memory - 256GB Flash Storage (Latest Model) - Silver""","Apple - MacBook Pro® - 13 Display - Intel Core i5 - 8 GB Memory - 256GB Flash Storage (Latest Model) - Space Gray""","Apple - MacBook Pro® - 13 Display - Intel Core i5 - 8 GB Memory - 512GB Flash Storage (Latest Model) - Silver""","Apple 13.3 MacBook Air ( Silver)""","Apple MacBook - 12 - Core m5 - 8 GB RAM - 512 GB flash storage - English""","Apple MacBook Pro MLUQ2LL/A 13.3 Notebook - Intel Core i5 Dual-core (2 Core) 2 GHz - 8 GB LPDDR3 - 256 GB SSD - Mac OS X 10.12 Sierra - 2560 x 1600 - In-plane Switching (IPS) Technology - Silver""","Apple MacBook Pro with Touch Bar - 13.3 - Core i5 - 8 GB RAM - 512 GB SSD - English""","Asus - 2-in-1 15.6 4K Ultra HD Touch-Screen Laptop Intel Core i7 16GB Memory NVIDIA GeForce GTX 950M - 2TB HDD + 512GB SSD - Sandblasted matte black aluminum""","Dell - Inspiron 15.6 Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1050 - 1TB + 8GB Hybrid Hard Drive - Red""","Dell - XPS 2-in-1 13.3 Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 256GB Solid State Drive - Silver""","Dell XPS 15 15.6 4K Touchcreen Laptop Intel i7-6700HQ 16GB 1TB SSD GTX 960M""","Details About Alienware 13 R3 Aw13r3/13.3 Fhd/i77700hq/nvidia Gtx 1060/16gb/512gb Ssd""","Details About Alienware 15 R3 Aw15r3/15.6 Fhd/i77700hq/nvidia Gtx1070/16gb/1tb Hdd+128gb Ssd""","Details About Apple Macbook Air 13.3 Laptop (early 2015) 2.2ghz Core I7 8gb 256gb""","Details About Asus Q304 13.3 Laptop I5 2.5 Ghz 6gb 1tb Hdd Win 10 (q304uabhi5t11)""","Details About Dell Inspiron I75675650blkpus 15.6 Laptop I57300hq""","Details About Openbox Excellent: Asus Rog Gl502vm 15.6 Laptop Intel Core I7 12gb Me...""","Details About Razer Blade Laptop 14 Full Hd (i77700hq""","Ginsu BESTBUY5580020 Lenovo Ideapad 11.6 Laptop""","HP - ProBook 14 Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Black""","HP 15-AY103DX 15.6 Touchscreen Touch Screen HD Laptop Notebook PC Computer 7th Gen i5-7200U Kaby Lake 8GB Memory 1TB HDD Hard Drive Windows 10""","Lenovo - 100S-14IBR 14 Laptop - Intel Celeron - 2GB Memory - 32GB eMMC Flash Memory - Navy blue""","Lenovo - Yoga 710 2-in-1 11.6 Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 128GB Solid State Drive - Silver Tablet PC Notebook 80V6000PUS""","Lenovo 80TX0007US Y 710-11ISK 11.6-Inch FHD Touch Laptop (Pentium 4405Y, 4 GB Ram, 128 GB SSD, Windows 10), SilverNotebook PC Computer Tablet Touchscreen Screen 2-in-1","Lenovo Flex 4 1470 80SA0000US 2-in-1 - 14 HD Touch - Pentium 4405U 2.1Ghz - 4GB - 500GB""","MSI - WS Series 15.6 Laptop - Intel Core i7 - 16GB Memory - 256GB Solid State Drive + 2TB Hard Drive - Aluminum Black""","New Asus Q524u 15.6fhd 2in1 Touch I77500u 3.5ghz 16gb Ddr4 2tb Hd 940mx2gb W10""","Razer - Blade Pro 17.3 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 32GB Memory - NVIDIA GeForce GTX 1080 - 1TB SSD - Black""","Samsung - Notebook 5 15.6 Touch-Screen Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce 920MX - 1TB Hard Drive - Solid black"""
4,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
9,,,4.0,,3.0,6.0,,2.0,4.0,1.0,,,,4.0,4.0,4.0,5.0,,1.0,4.0,2.0,1.0,2.0,,4.0,,1.0,2.0,4.0,1.0,2.0,,4.0,4.0,4.0,,4.0,,2.0
10,,,2.0,,1.0,4.0,,1.0,2.0,1.0,,,,2.0,4.0,2.0,4.0,,1.0,2.0,2.0,1.0,1.0,,2.0,,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,,2.0,,2.0
11,,,,,2.0,4.0,,,,1.0,,,,2.0,4.0,,4.0,,2.0,,2.0,,,,,,,,,1.0,,2.0,,2.0,2.0,,,,2.0
13,,,1.0,,2.0,8.0,,1.0,2.0,1.0,,,,4.0,6.0,2.0,8.0,,1.0,2.0,2.0,2.0,2.0,,2.0,,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,,2.0
14,,,2.0,,2.0,4.0,,1.0,2.0,,,,,2.0,4.0,2.0,4.0,,1.0,2.0,,,2.0,,2.0,,2.0,2.0,2.0,,1.0,2.0,2.0,,2.0,,2.0,,
18,,,2.0,,2.0,8.0,,1.0,1.0,1.0,,,,4.0,6.0,2.0,8.0,,1.0,2.0,,2.0,2.0,,2.0,,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0
19,,,2.0,,4.0,8.0,,1.0,1.0,,,,,4.0,6.0,2.0,8.0,,2.0,2.0,,2.0,2.0,,2.0,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
20,,,2.0,,2.0,4.0,,1.0,1.0,,,,,2.0,4.0,2.0,3.0,,,2.0,,,2.0,,2.0,,2.0,,2.0,,2.0,2.0,2.0,2.0,,,2.0,,
22,,,2.0,,6.0,12.0,,2.0,1.0,,,,,6.0,9.0,2.0,12.0,4.0,4.0,4.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,,4.0,2.0,4.0,4.0,4.0
26,,,,,,,,,1.0,1.0,,,,,,,,2.0,,,1.0,,,,2.0,2.0,,,,1.0,2.0,,2.0,,,1.0,2.0,2.0,2.0
27,,,,,,2.0,,,,,,1.0,1.0,,,,1.0,2.0,2.0,1.0,,1.0,3.0,,2.0,,2.0,2.0,1.0,,,,1.0,,,,1.0,2.0,1.0
28,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,
30,1.0,1.0,2.0,2.0,2.0,8.0,2.0,,1.0,2.0,4.0,4.0,2.0,,,,4.0,2.0,3.0,4.0,1.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,,2.0,1.0,2.0,2.0,2.0
31,8.0,2.0,2.0,2.0,4.0,12.0,2.0,,1.0,2.0,6.0,6.0,6.0,,,,6.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,,4.0,4.0
32,,,2.0,2.0,,4.0,2.0,,1.0,,2.0,2.0,,,,,2.0,2.0,2.0,2.0,,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,,2.0,,,,
33,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
34,2.0,1.0,,,,,,,,1.0,2.0,2.0,2.0,,3.0,,4.0,,4.0,,,,,2.0,,,,,2.0,1.0,,,,,,1.0,,2.0,2.0
35,4.0,1.0,2.0,2.0,,,2.0,,1.0,1.0,4.0,4.0,2.0,,6.0,,6.0,2.0,4.0,2.0,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,,2.0,2.0,,2.0,1.0,,2.0,2.0
36,2.0,1.0,,,,,,,,1.0,2.0,2.0,2.0,,1.0,,4.0,,,,,2.0,,1.0,,,,,,1.0,,,,,,1.0,,1.0,
37,2.0,1.0,,,,,2.0,,,1.0,2.0,2.0,1.0,,2.0,,2.0,,,,,2.0,,,,,,,,1.0,,,,,,1.0,,2.0,
38,2.0,1.0,,,,,2.0,,,1.0,2.0,2.0,2.0,,3.0,,4.0,,1.0,,,2.0,,,,,,,,1.0,,,,,,1.0,,1.0,2.0
41,2.0,2.0,2.0,2.0,,,2.0,,1.0,1.0,4.0,4.0,1.0,,4.0,,4.0,2.0,2.0,2.0,,2.0,2.0,1.0,,2.0,2.0,2.0,2.0,1.0,,2.0,,,2.0,1.0,,1.0,2.0
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
